"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2018","7,099,612","142,791,880",""
"BANK OF MONTREAL /CAN/","12/31/2018","3,030,029","60,941,844",""
"Vanguard Group Inc","12/31/2018","2,481,684","49,913,205",""
"TD ASSET MANAGEMENT INC","12/31/2018","2,369,902","47,697,757",""
"CIBC World Markets Inc.","12/31/2018","1,600,225","32,184,729",""
"FIL Ltd","12/31/2018","1,518,816","30,555,365",""
"MACKENZIE FINANCIAL CORP","12/31/2018","1,289,963","25,944,547",""
"Beutel, Goodman & Co Ltd.","12/31/2018","1,132,578","22,778,564",""
"BANK OF AMERICA CORP /DE/","12/31/2018","1,113,950","22,404,448",""
"Jarislowsky, Fraser Ltd","12/31/2018","1,063,598","21,406,763",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2018","1,002,647","20,180,000",""
"CIBC Asset Management Inc","12/31/2018","944,357","18,993,161",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2018","934,476","18,807,957",""
"NORGES BANK","12/31/2018","926,448","18,646,384",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2018","871,465","17,515,632",""
"1832 Asset Management L.P.","12/31/2018","844,623","16,972,378",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2018","774,015","15,567,486",""
"Capital World Investors","12/31/2018","720,538","14,495,694",""
"BANK OF NOVA SCOTIA","12/31/2018","682,127","13,719,364",""
"Her Majesty the Queen in Right of the Province of Alberta as represented by Alberta Investment Management Corp","12/31/2018","784,429","11,559,518",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2018","473,474","9,529,432",""
"FMR LLC","12/31/2018","441,869","8,889,481",""
"Capital Research Global Investors","12/31/2018","409,115","8,230,533",""
"SCOTIA CAPITAL INC.","12/31/2018","404,769","8,147,287",""
"Fiera Capital Corp","12/31/2018","397,988","7,990,257",""
"TORONTO DOMINION BANK","12/31/2018","389,902","7,834,445",""
