"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2020","8,153,351","144,511,689",""
"BANK OF MONTREAL /CAN/","12/31/2020","3,991,125","68,623,220",""
"VANGUARD GROUP INC","12/31/2020","3,067,829","54,374,831",""
"TD ASSET MANAGEMENT INC","12/31/2020","2,254,176","39,930,748",""
"Capital Research Global Investors","12/31/2020","2,067,442","36,591,836",""
"CIBC World Markets Inc.","12/31/2020","2,055,954","36,440,163",""
"FIL Ltd","12/31/2020","2,019,622","35,744,963",""
"BANK OF NOVA SCOTIA","12/31/2020","1,477,140","26,181,143",""
"MACKENZIE FINANCIAL CORP","12/31/2020","1,298,959","23,060,491",""
"Beutel, Goodman & Co Ltd.","12/31/2020","1,268,516","22,483,449",""
"1832 Asset Management L.P.","12/31/2020","1,248,664","22,057,760",""
"Jarislowsky, Fraser Ltd","12/31/2020","1,238,076","21,931,452",""
"NORGES BANK","12/31/2020","1,213,394","21,477,344",""
"CIBC Asset Management Inc","12/31/2020","1,205,606","21,386,923",""
"Capital World Investors","12/31/2020","1,087,832","19,253,401",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2020","1,317,490","18,318,829",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2020","998,585","17,659,079",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2020","869,639","15,404,903",""
"FMR LLC","12/31/2020","749,590","13,266,887",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2020","733,068","12,975,462",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2020","589,621","10,436,425",""
"JPMORGAN CHASE & CO","12/31/2020","557,891","9,888,197",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2020","526,522","9,315,359",""
"SCOTIA CAPITAL INC.","12/31/2020","496,972","8,808,437",""
"Legal & General Group Plc","12/31/2020","474,854","8,411,368",""
"TORONTO DOMINION BANK","12/31/2020","463,482","8,224,740",""
"FIERA CAPITAL CORP","12/31/2020","429,505","7,625,033",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2020","492,796","6,851,996",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2020","492,796","6,851,996",""
"APG Asset Management N.V.","12/31/2020","312,078","6,764,010",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2020","324,220","5,755,885",""
"Public Sector Pension Investment Board","12/31/2020","297,367","5,267,607",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2020","294,507","5,219,900",""
"DEUTSCHE BANK AG\","12/31/2020","289,807","5,136,633",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2020","289,035","5,120,011",""
"FRANKLIN RESOURCES INC","12/31/2020","287,037","5,080,659",""
"ROYAL BANK OF CANADA","12/31/2020","270,675","4,797,500","put"
"Federation des caisses Desjardins du Quebec","12/31/2020","269,006","4,782,117",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2020","267,272","4,734,491",""
"OMERS ADMINISTRATION Corp","12/31/2020","239,577","4,243,895",""
"GUARDIAN CAPITAL LP","12/31/2020","207,404","3,673,981",""
"CREDIT SUISSE AG/","12/31/2020","206,654","3,662,789",""
"BANK OF AMERICA CORP /DE/","12/31/2020","198,723","3,522,208",""
"Invesco Ltd.","12/31/2020","196,018","3,474,255",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2020","191,708","3,394,117",""
"WELLS FARGO & COMPANY/MN","12/31/2020","160,109","2,837,793",""
"AGF INVESTMENTS INC.","12/31/2020","139,841","2,475,017",""
"Alberta Investment Management Corp","12/31/2020","136,180","2,412,318",""
