"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2021","11,089,169","144,616,206",""
"BANK OF MONTREAL /CAN/","12/31/2021","5,612,897","72,914,741",""
"VANGUARD GROUP INC","12/31/2021","4,697,521","61,261,357",""
"Capital Research Global Investors","12/31/2021","3,835,082","50,022,490",""
"Capital World Investors","12/31/2021","2,941,629","38,367,374",""
"TD ASSET MANAGEMENT INC","12/31/2021","2,855,312","37,190,014",""
"MACKENZIE FINANCIAL CORP","12/31/2021","2,566,838","33,479,000",""
"CIBC World Markets Inc.","12/31/2021","2,464,699","32,142,661",""
"FIL Ltd","12/31/2021","2,173,323","28,347,547",""
"BANK OF NOVA SCOTIA","12/31/2021","2,098,807","27,352,261",""
"FMR LLC","12/31/2021","1,779,434","23,209,889",""
"1832 Asset Management L.P.","12/31/2021","1,746,241","22,704,712",""
"NORGES BANK","12/31/2021","1,698,122","22,132,369",""
"CIBC Asset Management Inc","12/31/2021","1,459,725","19,052,701",""
"Beutel, Goodman & Co Ltd.","12/31/2021","1,448,244","18,932,612",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2021","1,294,830","13,351,504",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2021","982,390","12,903,766",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2021","970,126","12,644,084",""
"JPMORGAN CHASE & CO","12/31/2021","828,827","10,808,880",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2021","799,593","10,427,653",""
"Legal & General Group Plc","12/31/2021","748,421","9,747,869",""
"SCOTIA CAPITAL INC.","12/31/2021","734,671","9,592,313",""
"BANK OF AMERICA CORP /DE/","12/31/2021","698,498","9,109,275",""
"TD Waterhouse Canada Inc.","12/31/2021","758,697","7,678,255",""
"FIERA CAPITAL CORP","12/31/2021","569,246","7,424,620",""
"DEUTSCHE BANK AG\","12/31/2021","505,733","6,595,375",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2021","489,910","6,385,210",""
"CIBC World Markets Inc.","12/31/2021","457,412","5,965,200","put"
"ROYAL BANK OF CANADA","12/31/2021","424,063","5,530,300","put"
"Alberta Investment Management Corp","12/31/2021","420,933","5,482,586",""
"Federation des caisses Desjardins du Quebec","12/31/2021","384,413","5,022,743",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2021","378,717","4,945,689",""
"TORONTO DOMINION BANK","12/31/2021","377,650","4,925,978",""
"FRANKLIN RESOURCES INC","12/31/2021","377,202","4,916,246",""
"NATIONAL BANK OF CANADA /FI/","12/31/2021","368,308","4,807,550",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2021","362,529","4,728,424",""
"APG Asset Management N.V.","12/31/2021","310,615","4,600,929",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2021","327,727","4,270,597",""
"AustralianSuper Pty Ltd","12/31/2021","330,592","4,205,963",""
"Invesco Ltd.","12/31/2021","287,851","3,753,927",""
"OMERS ADMINISTRATION Corp","12/31/2021","277,860","3,619,091",""
"GUARDIAN CAPITAL LP","12/31/2021","271,277","3,533,336",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2021","255,492","3,327,740",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2021","241,922","3,151,001",""
"WELLS FARGO & COMPANY/MN","12/31/2021","223,968","2,920,801",""
"MORGAN STANLEY","12/31/2021","216,243","2,820,075",""
"DekaBank Deutsche Girozentrale","12/31/2021","213,679","2,809,711",""
"CIDEL ASSET MANAGEMENT INC","12/31/2021","206,801","2,693,552",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2021","190,597","2,482,500",""
"CREDIT SUISSE AG/","12/31/2021","188,787","2,462,020",""
"AMERICAN CENTURY COMPANIES INC","12/31/2021","187,765","2,449,086",""
"BANK OF AMERICA CORP /DE/","12/31/2021","184,032","2,400,000","call"
"Jarislowsky, Fraser Ltd","12/31/2021","181,127","2,388,205",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2021","179,884","2,343,769",""
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2021","172,879","2,251,725",""
"Triasima Portfolio Management inc.","12/31/2021","169,193","2,211,828",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2021","162,810","2,121,970",""
"AGF INVESTMENTS INC.","12/31/2021","162,318","2,117,175",""
"Bank of New York Mellon Corp","12/31/2021","158,605","2,068,398",""
"Addenda Capital Inc.","12/31/2021","194,627","2,006,879",""
"BANK OF NOVA SCOTIA","12/31/2021","153,360","2,000,000","put"
"Cardinal Capital Management, Inc.","12/31/2021","147,688","1,927,683",""
"Credential Qtrade Securities Inc.","12/31/2021","121,136","1,579,470",""
"Russell Investments Group, Ltd.","12/31/2021","113,814","1,482,453",""
"TORONTO DOMINION BANK","12/31/2021","112,655","1,469,408",""
"HSBC HOLDINGS PLC","12/31/2021","111,987","1,459,984",""
"LINCLUDEN MANAGEMENT LTD","12/31/2021","110,183","1,437,158",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2021","137,855","1,423,391",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2021","107,938","1,405,879",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2021","107,743","1,405,099",""
"ALLIANCEBERNSTEIN L.P.","12/31/2021","106,103","1,383,717",""
"Korea Investment CORP","12/31/2021","106,080","1,381,676",""
"Public Sector Pension Investment Board","12/31/2021","103,706","1,350,753",""
"Verition Fund Management LLC","12/31/2021","99,684","1,300,000","call"
"GOLDMAN SACHS GROUP INC","12/31/2021","97,117","1,266,527",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2021","96,398","1,260,586",""
"EdgePoint Investment Group Inc.","12/31/2021","92,127","1,205,122",""
"Capital International Investors","12/31/2021","92,232","1,202,823",""
"Burgundy Asset Management Ltd.","12/31/2021","89,127","1,165,138",""
"TWO SIGMA INVESTMENTS, LP","12/31/2021","87,804","1,145,069",""
"UBS Group AG","12/31/2021","82,642","1,077,743",""
"AMUNDI","12/31/2021","86,768","1,066,342",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2021","79,723","1,040,587",""
"Value Partners Investments Inc.","12/31/2021","71,003","928,202",""
"Northwest & Ethical Investments L.P.","12/31/2021","71,008","926,185",""
"JANE STREET GROUP, LLC","12/31/2021","69,456","905,784",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2021","67,998","886,776",""
"EATON VANCE MANAGEMENT","12/31/2021","68,007","886,268",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2021","67,246","877,906",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2021","66,273","863,582",""
"Parametric Portfolio Associates LLC","12/31/2021","66,206","863,410",""
"BlackRock Inc.","12/31/2021","65,940","859,943",""
"Mawer Investment Management Ltd.","12/31/2021","65,117","849,200",""
"FIRST TRUST ADVISORS LP","12/31/2021","65,083","848,757",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2021","66,608","829,382",""
"NORTHERN TRUST CORP","12/31/2021","63,577","829,106",""
"QV Investors Inc.","12/31/2021","62,708","816,763",""
"AXA S.A.","12/31/2021","62,341","813,003",""
"CITIGROUP INC","12/31/2021","61,941","806,770",""
"NN Investment Partners Holdings N.V.","12/31/2021","61,690","804,504",""
"CITADEL ADVISORS LLC","12/31/2021","61,413","800,900","put"
"SIG North Trading, ULC","12/31/2021","59,320","772,500","put"
"SCOTIA CAPITAL INC.","12/31/2021","58,973","770,000","call"
"CIBC World Markets Inc.","12/31/2021","56,743","740,000","call"
"D. E. Shaw & Co., Inc.","12/31/2021","56,766","740,000","call"
"Twin Tree Management, LP","12/31/2021","55,279","720,900","put"
"JANUS HENDERSON GROUP PLC","12/31/2021","55,029","716,900",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2021","53,736","704,277",""
"Nexus Investment Management ULC","12/31/2021","53,888","703,374",""
"BANK OF AMERICA CORP /DE/","12/31/2021","53,676","700,000","put"
"MARSHALL WACE, LLP","12/31/2021","53,400","695,952",""
"Walleye Trading LLC","12/31/2021","49,650","647,500","put"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","48,814","636,600","call"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","48,814","636,600","call"
"D. E. Shaw & Co., Inc.","12/31/2021","45,970","599,256",""
"USS Investment Management Ltd","12/31/2021","45,569","594,263",""
"PICTET ASSET MANAGEMENT SA","12/31/2021","45,451","592,005",""
"Unigestion Holding SA","12/31/2021","44,606","581,432",""
"AVIVA PLC","12/31/2021","44,164","576,326",""
"Man Group plc","12/31/2021","44,243","576,298",""
"FORSTA AP-FONDEN","12/31/2021","43,832","570,900",""
"Advisors Capital Management, LLC","12/31/2021","43,133","562,508",""
"Allianz Asset Management GmbH","12/31/2021","42,598","554,841",""
