Investee Company,Bloomberg Code,2022 Loan Amount,,
TC Energy Corp,TRP CN,5619947000,,
Canada Development Investment Corp,0148238D CN,2600810000,,
Enbridge Inc,ENB CN,1198545950,,
Inter Pipeline Ltd/AB,IPL CN,966664870,,
PG&E Corp,PCG US,800000000,,
Paramount Resources Ltd,POU CN,777868000,, 
AltaGas Ltd,ALA CN,740524550,,
Caisse de Depot et Placement du Quebec,1118Z CN,717355645,,
Atco Ltd/Canada,ACO-X CN,687969306,,
Athabasca Oil Corporation,ATH CN,628707644,,
Strathcona Resources Ltd,1911116D CN,395888812,,
Irving Oil Ltd,0133955D CN,395175487,,
Kinder Morgan Inc,KMI US,391666667,,
Peyto Exploration & Development Corp,PEY CN,293076800,,
Vistra Corp,VST US,254360472,,
Aethon Energy Management LLC,1272320D US,250000000,,
MEG Energy Corp,MEG US,232243200,,
Enerplus Corp,ERF CN,182500000,,
Southwestern Energy Co,SWN US,181818182,,
Plains All American Pipeline LP,PAA US,138552632,,
Obsidian Energy Ltd,OBE CN,129139722,,
Secure Energy Services Inc,SES CN,125350560,,
Coastal Gaslink Pipeline LP,1756679D CN,118208644,,
Fortis Inc/Canada,FTS CN,115102178,,
NCP CSV Holdings LP,3033433Z US,108772218,,
