Investee Company,Bloomberg Code,2022 Loan Amount,,
Enbridge Inc,ENB CN,1737016500,,
Cenovus Energy Inc,CVE CN,1368711667,,
TransAlta Corp,TA CA,1293514050,,
North West Redwater Partnership,0630082D CN,1217907775,,
Parkland Corp,PKI CN,956546364,,
Enerplus Corp,ERF CN,900000000,, 
Ovintiv Inc,OVV US,700000000,,
Alberta Investment Management Corp,804652Z CN,667787135,,
Fortis Inc/Canada,FTS CN,627389478,,
Caisse de Depot et Placement du Quebec,1118Z CN,588738573,,
Strathcona Resources Ltd,1911116D CN,395888812,,
Tundra Oil & Gas Ltd,5981426Z CN,369018564,,
NuVista Energy Ltd,NVA CN,347670840,,
Teine Energy Ltd,0181220D CN,333458123,,
Peyto Exploration & Development Corp,PEY CN,293076800,,
Baytex Energy Corp,BTE CN,283333333,,
NGL Supply Co Ltd,7662727Z CN,241934127,,
Inter Pipeline Ltd/AB,IPL CN,241371395,,
Franco-Nevada Corp,FNV CN,238726155,,
Cheniere Energy Inc,LNG US,237200000,,
Korea National Oil Corporation (KNOC),KNOCPZ KR,230691900,,
TC Energy Corp,TRP CN,224085600,,
Freehold Royalties Ltd,FRU CN,219516600,,
Williams Cos Inc/The,WMB US,194444444,,
Alectra Inc,1487407D CN,189247444,,
