"Manager","Report Date","Value ($000)","Shares","Option Type"
"SIMPLEX TRADING, LLC","12/31/2024","571","18,600","put"
"GROUP ONE TRADING LLC","12/31/2024","343","11,200","put"
"NATIONAL BANK OF CANADA /FI/","12/31/2024","25,564","8,313","put"
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2024","0","0","put"
